station_id,t_min,bikes,empty_docks,capacity
7000,0,40,7,47
7001,0,20,3,23
7002,0,7,12,19
7003,0,6,9,15
7005,0,23,3,26
7006,0,21,10,31
7007,0,14,5,19
7008,0,11,8,19
7009,0,0,25,25
7010,0,16,3,19
7013,0,15,4,19
7014,0,5,12,17
7015,0,35,4,39
7016,0,4,31,35
7017,0,10,2,12
7018,0,26,23,49
7019,0,44,11,55
7020,0,19,14,33
7021,0,45,18,63
7023,0,5,6,11
7024,0,35,4,39
7025,0,25,1,26
7026,0,12,3,15
7027,0,12,19,31
7028,0,20,10,30
7029,0,6,9,15
7030,0,29,6,35
7031,0,35,4,39
7032,0,5,10,15
7033,0,15,12,27
7034,0,10,5,15
7035,0,14,29,43
7036,0,3,16,19
7037,0,17,10,27
7038,0,6,25,31
7039,0,16,3,19
7040,0,12,7,19
7041,0,19,4,23
7042,0,28,3,31
7043,0,6,13,19
7044,0,35,0,35
7045,0,24,13,37
7046,0,5,37,42
7047,0,14,11,25
7048,0,7,40,47
7049,0,5,10,15
7050,0,9,7,16
7052,0,22,33,55
7053,0,24,3,27
7054,0,4,7,11
7055,0,9,3,12
7057,0,24,3,27
7058,0,32,7,39
7059,0,7,8,15
7061,0,2,13,15
7063,0,6,17,23
7064,0,16,3,19
7065,0,10,5,15
7066,0,8,7,15
7067,0,26,3,29
7069,0,8,3,11
7070,0,5,6,11
7071,0,20,3,23
7073,0,13,10,23
7074,0,25,10,35
7075,0,21,6,27
7076,0,49,8,57
7077,0,13,6,19
7078,0,11,4,15
7079,0,7,12,19
7083,0,12,3,15
7084,0,5,6,11
7085,0,11,4,15
7086,0,18,5,23
7087,0,8,3,11
7088,0,11,4,15
7089,0,23,4,27
7090,0,17,2,19
7091,0,12,3,15
7093,0,20,5,25
7094,0,19,5,24
7095,0,3,12,15
7096,0,16,3,19
7097,0,6,9,15
7098,0,7,8,15
7099,0,18,21,39
7100,0,22,5,27
7101,0,21,6,27
7102,0,19,12,31
7103,0,29,4,33
7104,0,11,4,15
7105,0,9,6,15
7106,0,14,9,23
7107,0,11,4,15
7109,0,26,6,32
7110,0,8,7,15
7111,0,6,5,11
7112,0,9,10,19
7113,0,11,4,15
7114,0,17,9,26
7115,0,25,6,31
7116,0,15,4,19
7117,0,17,2,19
7118,0,10,9,19
7119,0,4,11,15
7120,0,8,2,10
7121,0,17,10,27
7122,0,12,3,15
7123,0,9,6,15
7124,0,17,2,19
7126,0,10,7,17
7127,0,6,9,15
7128,0,20,3,23
7129,0,2,9,11
7130,0,10,5,15
7131,0,9,5,14
7133,0,8,3,11
7135,0,27,8,35
7137,0,13,2,15
7138,0,16,11,27
7139,0,12,3,15
7140,0,13,2,15
7141,0,12,3,15
7142,0,11,4,15
7143,0,4,11,15
7144,0,11,4,15
7146,0,16,3,19
7147,0,12,3,15
7148,0,20,3,23
7149,0,9,2,11
7150,0,6,13,19
7151,0,10,9,19
7152,0,4,7,11
7153,0,7,12,19
7154,0,20,3,23
7155,0,8,11,19
7156,0,7,8,15
7157,0,15,7,22
7158,0,8,7,15
